Date	Time	Activity	Distance	Duration	WorkoutName	WorkoutType	CompName	CompDist	CompPlace	Shoes	Notes
06/22/2015	17:35:00	Running	10	1:10:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Started with Pat and Andrew who were doing 30 and ran into Jonas Hampton in the trails. They crossed the road from SQP and I went back down to the pond to meet Alex. Did the rest of the run with him at AW.<br /><br /><br />8 strides with him on Oak St.<br /><br /><br />Faster pace for the run, and my legs felt good today, despite another day working outside for the most part.<br /><br /><br />Finished my internship, just have to go back one morning to talk about everything. I'm going to miss some of these people. I get along with one of the guys really well, and everyone there is really pleasant to work with. Will be nice to have my schedule a little more varied so I can introduce doubles. Getting up to run at 7:00 before I start at Fleet Feet. 
06/23/2015	00:00:00	Running	10.5	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Good stuff, fast (6:00 pace or so), felt good for early morning. Started with Joe, Kevin, Alex, and Dave. Joe was going short and split off, then Kevin dropped on the AW hill, Dave was on and off, and Alex was with me the whole time. He likes this fast stuff. 
06/23/2015	16:45:00	Weight Lifting	0	1:00:00.00		Training					Lift after Fleet Feet. I like it. 
06/24/2015	07:00:00	Running	10	1:10:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Started with Pat, had Joe in the briefly, they both split and me Dave and Kevin did the rest. Good run, liking getting it done early! 
06/24/2015	17:30:00	Running	5.7	40:38.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Andrew after work, had a gap between getting home and dinner so I figured why not get in 1 double for the week. Kind of tired/dehydrated though. 
06/25/2015	07:15:00	Running	9.5	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Start with Joe, Dave, and Kevin, then Joe left, Kevin fell off me and Dave,and I dropped off Dave soon after. Not going too fast or anything, but my legs were pretty tired, and understandably so. 
06/26/2015	07:10:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Ran to pick up Joe, then ran 30 minutes with him. Finished alone on the bus path and in SQP.Felt alright today.<br /><br /><br />Spent like 45 minutes on the phone trying to figure out next year. Looks like I'm going to take 3 undergrad classes to fill prereqs, and 1 grad marketing course to start the core courses. Need to register soon.<br /><br /><br />Got to try on a ton of shoes at Fleet Feet. I want a pair of Adidas Boost! So bouncy and light! Apparently the boost foam can last thousands of miles too.<br /><br /><br /><br />
06/27/2015	18:30:00	Running	5	35:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After work with Jason. Started fitting a bit today, Fleet Feet is great. Actually enjoy being at work. 
06/28/2015	14:30:00	Running	13	1:30:00.00	Long Run 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Started with Andrew to AW where we met Tyler and Alex. Only had to do like 40 minutes alone which wasn't bad. Over 70 this week. Been a LOOOOOONNNNGGGG time since I could say that. 
06/29/2015	08:00:00	Running	10	1:10:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Most all with Kevin. SQP-AW. Good run. 
06/29/2015	11:00:00	Weight Lifting	0	50:00.00		Training					Kevin joined me. Went faster, and was a good workout. 
06/30/2015	07:15:00	Running	10.5	1:12:51.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Started off with Pat, met Alex, Kevin, Dave, and Joe at SQP. Dropped back with Kev because my legs weren't warmed up (we were still under 7:00 pace though). Joe and Pat split off at AW where I linked back with Dave and Alex and dropped Kev as we picked the pace up. I felt good from this point forward. Need to get my sleep up.<br /><br /><br />Breaking News: My Dad got a job in SC so hes moving at the end of the month with my Mom and brother to follow by the Fall when they close on a house and sell ours. Just hit me that this is actually happening. Going to much different without them 20 minutes away. Life. 
07/01/2015	07:00:00	Running	5	35:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Joe in SQP. Feeling alright, still need to sleep better. 
07/01/2015	18:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Tyler who did 8 miles. SQP-AW-SQP. When I was finishing some guy was apparently angry at my choice of only running shorts saying, Put some fucking clothes on, no one wants to see that shit, slowing his car down to a stop sign. I fired back some vulgar comments, and he repeated his comments.Wow. 
07/02/2015	11:00:00	Running	8.4	1:00:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After the DMV. Felt shitty, not fast. 
07/02/2015	20:00:00	Running	7.5	51:30.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After work and a lot of foam rolling. Felt way better on this run. Moving much quicker. Ran into Joe, Brendan, Kevin, and Alex at the track. 
07/03/2015	08:15:00	Running	13	1:30:00.00	Long Run 	Workout			0	Mizuno Wave Paradox (06/18/2015)	8:15 officially feels late for a run. I'm on the right track. Felt decent. Down around willow brook area and back to finish around SQP. Getting this out of the way early because 4th of July weekend will be busy. 
07/04/2015	08:00:00	Running	4.3	30:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Didnt realize this was supposed to be 45 minutes...my bad 
07/05/2015	23:10:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After work at LC. Usual night time out and back. Getting up there in mileage. 
07/06/2015	13:20:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After a lot of organizing of my room, integrating all my things from home into my current room at Oak St, and finding where to store the rest.<br /><br /><br />Felt ok. Legs are always somewhat tired.<br /><br /><br />Got full acceptance to grad school so that's a weight off my shoulders, and finalized my class schedule. 
07/06/2015	21:30:00	Running	5	35:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Pat after I got home from work at LC. 
07/07/2015	10:00:00	Weight Lifting	0	50:00.00		Training					Lift/core. Weighed in at work at 139.6. Down 2.5 pounds from before I started running, which is a good thing. 
07/07/2015	20:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	WML with Pat and then SQP-Barbour Rd. Right posterior tibial tendon was sore today. Hate when that happens. 
07/08/2015	07:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Awful. Legs were having no part of this, was a struggle to finish, and hold any kind of pace. Tibial tendon was sore again too. Time to recover a bit...well after this 11 hour work day I have coming up anyway. 
07/09/2015	17:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After work from Fleet Feet before our store meeting. This job is awesome. Ran 2 miles up the road to the WHR and did trails in there. Started moving the second half. Slept 8 hours last night, and stayed in bed an extra hour. Also rolled my legs and tibial tendon a lot at work which really helped, pain was not a factor today. 
07/10/2015	11:00:00	Running	5	35:00.00	Easy Run 	Training			0		Today was supposed to be a double day, but I ended up staying at LC until midnight. Ridiculous. Will double Sunday and do my long run tomorrow.<br /><br /><br />Ran in my store shoes (Brooks Launch 2) and they felt amazing. I'll stick to my Mizunos until they wear out. 
07/11/2015	19:00:00	Running	15	1:45:00.00	Long Run 	Workout			0	Mizuno Wave Paradox (06/18/2015)	After work and some food. Downtown New Britain to Slater Batterson, some random neighborhoods, and SQP. They are making the path wider at SQP and adding new paths from the pond to the road. Going to make Ted Owen and workouts better for sure. Felt decent today, thought the length of the run was tiring me out towards the end. 
07/12/2015	13:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Heat of the day. Felt decent. Didn't double because work after this exhausted me. 
07/13/2015	23:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Felt good on this night run. Quick for the most part, and definitely sub 6 for about 10 minutes at the end.<br /><br /><br />On East St I had a water bottle thrown at me, and near AW a girl stepped in front of me in the road, grunted, and swung at me. That was one of my weirdest night run encounters for sure. 
07/14/2015	11:45:00	Running	5	35:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Before work after hitting the bank and grocery shopping. Not sure if I need down time, or if I'm just used to being busy everyday. I think a day off to relax would be helpful though. I really like Fleet Feet days though. Its the Lake Compounce days I don't like so much. All for the sake of filling my bank account! 
07/14/2015	21:50:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	After work and cooking up some dinner to last a few days. Felt good. Normal night route, no exploring tonight. 
07/15/2015	10:30:00	Weight Lifting	0	50:00.00		Training					Lift/core #1 
07/15/2015	12:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	SQP-AW-WML with Colin. Relaxed and sooooo happy I had someone to run with. 
07/15/2015	20:15:00	Running	5	35:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Met Alex at the park and ran into Pat. Did 8 strides on Oak with Alex, then added a mile to finish the run. Felt good here. Work got canceled due to rain and I had the day to spend home which was so nice. My Dad moves to South Carolina next Saturday and I won't see him until Xmas break. Hope to get home again next week sometime. 
07/16/2015	22:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Ryan, so nice not being alone, and we were on the faster side, but that's not a surprise. Usual night time out and back. 
07/17/2015	10:45:00	Running	6.4	45:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Night run and easy day. Ended up talking to Joe and Dave for a while and ran late. Felt decent. Saw a rabbit with its midsection ripped open crawling in the road, must've got hit by a car. This threw me off for sure, not a pleasant sight. Ran back that way and saw a small rabbit sitting next to the road. It ran away as I got close. Saw the rabbit from earlier smeared in the road. How sad. 
07/18/2015	18:30:00	Running	11	1:10:00.00	Easy Run 	Training			0	Asics DS Trainer 19 (05/01/2015)	Alright, we are in better shape than I thought, but that's nothing unusual. Did 25 min then stopped to stretch. Felt way better after this. Went to the track to start the fast finish. The gate was closed but I slid under the low corner...your fence is no match for how skinny I am! Started out at what I assumed was like high 5 min pace, but in reality I hit a 5:18. Never really lost that pace other than on hills. Felt good for being alone. We are set. Long run tomorrow will put me over 80 miles. Probably max out around 90 running miles this summer. No need to push the boundaries. 
07/19/2015	13:00:00	Running	15	1:45:00.00	Long Run 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Didn't feel good at all today. Pat Joined for the last 45 minutes or so which pulled me through. Been really thinking about training today. I need to start putting running before everything so I can get the most out of these last 5 weeks of training. I'm obviously not in bad shape, but if I can rid myself of this fatigue I can get higher quality runs in. Over 80 this week, and I'd like to be around 90 for the next week. After that I will hopefully get in some elliptical time because approaching 100 miles per week doesn't do me any good. 
07/20/2015	13:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	SQP-AW in the heat, which really was no issue for me. Slept in and relaxed this morning since I worked an evening shift. Just what I needed.<br /><br /><br />Need to shake this fatigue! Not worrying about pace for now, just need to get my legs back under me feeling good. No spring in my step these days.<br /><br /><br /><br />
07/20/2015	21:30:00	Running	5	35:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Nice comfortable run. Remembered what running comfortably actually is, same thing as running relaxed in a race, zoning out and getting into a rhythm.<br /><br /><br />Oak St strides. 
07/21/2015	17:00:00	Weight Lifting	0	50:00.00		Training					Lift/core. Body was kind of tired here. 
07/21/2015	18:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Was going to run with Dave this morning, but LC called and said if I covered a morning shift I wouldn't have to work at night as I was supposed to so I jumped on that. Ran later. Decent beginning, not so great middle, decent end. Ran on the golf course. They added 1 or 2 holes.<br /><br /><br />Been taking supplements again. Iron and fish oil in the morning, D3, Magnesium Zinc, and B12 at night. 
07/22/2015	00:00:00	Running	4.8	32:47.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Short run before work 
07/22/2015	21:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Alone for the first half, second half with Jason and Ryan. Decent run overall. 
07/23/2015	07:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Early run with Ryan, Dave, and Jason. Quicker but not super fast. Fatigue was hitting me hard on this one.<br /><br /><br />Decided to quit Lake Compounce I need time to rest and recover. About a month out from preseason and my last shift should be July 31st. Some rest will put me right into awesome shape and ready to go for cross. I'm hungry, but also fed up with feeling like trash. 
07/24/2015	17:15:00	Running	10	1:10:00.00	Easy Run 	Training			0		Tried to do a fartlek but was dieing hard halfway through so I stopped. Felt like I had ran a 10k after this. Entire body was cooked. Worst I've felt this summer I think. Taking tomorrow off. A little rest and my legs will be back, underneath this sea of fatigue are some fast strong legs. 
07/26/2015	00:00:00	Running	15	1:45:00.00	Long Run 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Long run with Jason. Down to Willow Brook around NB. Taking a day off was a good move. Sub 7 and felt nice. Now just rest and I'll be back to normal. 
07/27/2015	09:30:00	Running	10.6	1:10:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Started with Joe, then met Jason and Alex at SQP. Joe went short and me Alex and Jason stayed at AW and did a WML. Jason dropped part way through. Breathing is good. Leg fatigue was still there but not as bad. Just wait until these legs start getting good rest...<br /><br /><br />8 strides on Oak with Alex 
07/28/2015	18:30:00	Running	10.7	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Brendan at WHR. Felt AMAZING! Cruising. Brendan said were under 6:00 pace. Legs are coming back! 
07/28/2015	20:15:00	Core	0	20:00.00		Training					Core before dinner. Haven't done pushups/pull ups in a little while. But sets of 7 and 20 are still cake. 
07/29/2015	10:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Soooo hot. Felt decent though. 
07/29/2015	20:30:00	Running	5	35:00.00	Strides 	Workout			0	Mizuno Wave Paradox (06/18/2015)	WML and SQP for strides 
07/30/2015	07:30:00	Running	5	35:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	With Kev. Spur of the moment just said eh why not and ran again. Legs felt great. We were hitting 6:20 at first so we slowed down. 
07/30/2015	15:15:00	Running	5	30:00.00	Fartlek 	Workout			0	Mizuno Wave Paradox (06/18/2015)	Decided to do my fast stuff today, and I did a fartlek. 10 x 2 min hard 1 min easy. What I tried and failed to do last week. Went based on feel. Solid stuff. Little rain and thunder in there. 
07/31/2015	08:00:00	Running	6.9	46:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Easy day because I worked just shy of 12 hours today. Bitter sweet goodbyes at LC, but a smart move none the less.<br /><br /><br />Ran to SQP, then to the track where I saw Malcolm and jumped in on his tempo for about a mile. 5:30 pace ish. Not ideal for a recovery day, but whatever. Felt good today.<br /><br /><br />Got my new shoes from Fleet Feet. Asics Gel-Pursue 2. Can't wait to give them a try tomorrow. 
08/01/2015	18:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	With Alex and Ryan. Bus path to SQP-AW. Feeling good. The new shoes are great too. 
08/02/2015	18:00:00	Running	17.5	2:00:00.00	Long Run 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	WHR with Jason and his friend. Felt great. Legs are coming around nicely. Jason's friend got his stuff stolen from his truck while we were running. Waited with him for the cops to come. 
08/03/2015	18:30:00	Running	10.5	1:10:00.00	Strides 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	After a relaxed morning, spending some time home, running errands, and making dinner. Ran around SQP for 45 minutes where I ran into Austin and Tori, then went to the golf course and back to Oak St for strides, which felt strong and fast. Overall felt good today, definitely feel the long run, but my legs don't feel heavy and bogged down. This is what I like to see. 
08/04/2015	19:45:00	Running	10.8	1:13:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Cornfield and Winding Trails. Started at a good pace, but then Alex and Dave began to hammer so I dropped back with Kev and Joe. Finished with Kev. Felt good honestly, just didn't feel like killing the pace. Not a fan of having Garmins around while running. So inaccurate when trail running. I prefer going off feel. 
08/04/2015	20:10:00	Running	5	35:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	SQP with Alex after work 
08/05/2015	11:00:00	Weight Lifting	0	1:00:00.00		Training					Didn't get out for the early run, but figured I should get back into the lifting which I fell off a bit on recently. I could definitely tell, was a bit harder than usual. 
08/05/2015	12:45:00	Running	5	35:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Easy short run before work. Normal morning loop. Ran into Tori and Austin again in the woods. 
08/05/2015	23:10:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	My schedule is a mess again, but whatever. Ran short in the morning, and had stuff to do after work. Good run though for sure. Introspective, need a run like that every now and then! 
08/06/2015	19:30:00	Running	10.4	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	SQP-AW with Brendan. Good stuff. 
08/07/2015	20:30:00	Running	7.7	50:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	With Joe after work. Tried to find a lost dog. Hope the guy found it. Quick pace. 
08/08/2015	07:00:00	Running	9.8	1:00:00.00	Fartlek 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	Did a fartlek instead of fast finish. 5:30 pace is easy, especially breathing, legs are tight and the mileage is still hitting them a bit. They'll come around. 
08/08/2015	08:05:00	Running	4	30:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	SQP, started off slow and alone for the first half (body still asleep), but picked up when I ran into Joe, Alex, and Dave 
08/09/2015	20:00:00	Running	17.5	2:00:00.00	Long Run 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	After work and a small dinner. Breathing is so relaxed on every run, just have tired muscles. Kept getting the urge to push the pace, but tried not to since I knew it wouldn't do me much good. Ran from Oak to Walnut (20 min) around Walnut a bunch of times (40 min) back toward school (20 min) modified WML (40 min). Was at 6:30 pace at about 30 minutes in, but eased up on that a bit later. First week over 90 in a LOOOONNNNGGGG time. 
08/10/2015	15:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Didn't get up until 11:00. A nice day off from work. Also did some foam rolling.<br /><br /><br />Colin came over today and I decided to join him and Brendan at some trails in Manchester. Nice relaxing pace. Definitely feel the 2 hours of road I did yesterday. Found out Colin did his 2 hour long run at 8:00 in NB just like I did, only we did it in different parts of NB. Too bad we didn't run together.<br /><br /><br />Got smoothies at Evergreen Walk after which hit the spot. 
08/11/2015	13:30:00	Running	5	35:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Slept in past 9, though I had a somewhat lucid dream where I thought I lost my back pack but realized I was awake and that it was in my room.<br /><br /><br />Chill run. Kept things easy. SQP. 
08/11/2015	20:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	After work with Kev in the rain. His Garmin was pissing me off. We were definitely at 6:12-6:30 pace at the track (which was lit up past 9 for some reason, but then it kept saying we were going slower than 7:10 pace which was complete BS. I'm good at judging pace and we were at least running 6:45 after this bare minimum. Good stuff regardless. 
08/12/2015	18:30:00	Running	10	1:10:00.00	Strides 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	Started with Pat, Tyler, and Kevin. Alex joined later. SQP-AW. Felt pretty good. 
08/12/2015	20:30:00	Running	5	36:47.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	SQP with Kevin. Slower, but good. 
08/13/2015	12:50:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Start with Kev from Oak, ran to SQP and he went short. Did 2 AW/WML loops and back through SQP. Feeling alright, still not amazing though. 
08/14/2015	09:10:00	Running	12.5	1:18:39.00	Fartlek 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	Ladder 6-5-4-3-2-6-5-4-3-2 w/1 min rest between each<br /><br /><br />Morning Fartlek with Ryan on extended Slater Batterson loop. Warmed up 20, stretched briefly, then started around Batterson lake. Legs were heavy to start and didn't really warm up until the last 3rd of this. Ryan was ahead on all other than the first 2 min rep, and the last 4-3-2. Happy with this though, will be ready for preseason with a little rest next week. 
08/15/2015	19:00:00	Running	9	1:01:29.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	After work with Kevin. Easy day, but went a little longer than I planned. Quick at parts (6:30s) but felt surprisingly good, although a bit sore from the fartlek. 
08/16/2015	18:45:00	Running	17	1:55:00.00	Long Run 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	WHR with Tyler after work. He did 14 miles. Typical slow start, but picked up a lot before Res 6 and kept fast.Was going to go longer to try and hit 90 again, but that would be pointless. 1 week until preseason! 
08/17/2015	18:30:00	Running	9	1:03:00.00	Strides 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	With Alex and this high school kid who we ran into that joined for half. Felt relaxed today. Ice bath after. Oak St strides. 
08/18/2015	10:30:00	Running	4	30:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Easy morning run, legs didn't have much this morning so it was a slog 
08/18/2015	20:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	After work with Kevin for the first half, alone the second half. Relaxed. 
08/19/2015	11:45:00	Weight Lifting	0	45:00.00		Training					I can tell I've been slacking on these lifts. Getting back to it. 
08/19/2015	18:30:00	Running	9	1:05:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	With my friend Dave at home. Fast start, slow middle, fast end. Nice catching up with him. 
08/20/2015	10:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Hot, very hot. Bus path to Newington and SQP. Felt flat. 
08/20/2015	18:15:00	Running	5	35:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	SQP. Still felt flat. 
08/21/2015	20:30:00	Running	9.5	1:05:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	With Kevin and Brendan on my favorite kind of run, a night run. Enjoyable. Was going to go long, but wasn't feeling it, and we stopped at Brendan's to watch the steeple prelims for worlds. 
08/22/2015	19:15:00	Running	15	1:45:00.00	Long Run 	Workout			0	Asics Gel-Pursue 2 (07/31/2015)	Started with Kevin, Alex, Kyle, and Jason. Alex joined me for the rest when I said I was going long. Felt good towards the end, just some rust to shake off. 
08/23/2015	18:00:00	Running	9	1:00:05.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Great run. The legs are coming back quick it seems. Quicker side today. It has been rare that my legs want to move when I run alone. Great down week only 10 miles under my highest week so no peaking for the time trial for this guy. 
08/24/2015	09:25:00	Running	8	55:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	After watching the steeple at Brendan and Colin's. Felt pretty good again. Took it a little shorter today just because preseason will be hard and make up for any mileage loss from today. Lets get this rolling. 
08/25/2015	00:00:00	Running	6	43:26.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	WU/CD 
08/25/2015	09:00:00	Running	10	54:44.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	10 mile time trial round 5. Last official one ever. Felt awesome, my summer training is vindicated. Started out 5:28 for mile 1 with Alex, Brendan, Colin, and Ryan. Then by mile 3 it was just me and Ryan with Brendan and Colin close behind. Came through 5 with Ryan at 27:18 or so. Felt the best I ever have on the turn around. Led from this point and tried to keep Ryan with me but he fell back as Colin caught up at mile 6.5. Then it was me and Colin for the rest and we finished together.Definitely feel the run right now, but it was pretty relaxed overall I'd say. Not dead afterwards by any means. Onward with preseason. 
08/26/2015	15:00:00	Running	4.5	32:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Before work at fleet feet 
08/26/2015	20:00:00	Pool Running	0	40:00.00		Training					Pool run.<br /><br /><br />10 min warm up, interval of 1,2,3,2,1 with 1 min rest. Good intro to pool running. Did some of this during the 10 week off period I had the SFX. 
08/26/2015	21:00:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Peoples state forest in Barkhamstead. Not a big fan though there may have been more trail I had missed. Not feeling too bad from the time trial, some pain in the outside of my lower right leg though. Obviously has me paranoid since I just had a stress fracture. 
08/27/2015	08:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics Gel-Pursue 2 (07/31/2015)	Farmington Canal Trail. Cornfield loop, then Winding Trails to finish. Still got that feeling in the right leg. Not terrible, just something uncomfortable. Felt alright otherwise. 
08/27/2015	16:00:00	Eliptical Trainer	0	30:00.00		Training					Not doubling anymore this week. Xtraining instead since I'll still be around 90 running miles. Drenched in sweat after this. HR got up to high 150's. 
